Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
  svchost.exe		3,684 K	18,368 K	752	Host Process for Windows Services	Microsoft Corporation
  SgrmBroker.exe		2,712 K	5,864 K	5300	System Guard Runtime Monitor Broker Service	Microsoft Corporation
  svchost.exe		4,784 K	16,704 K	5852	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		3,032 K	10,940 K	8088	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		5,244 K	24,020 K	5892	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		4,156 K	12,316 K	3932	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		6,288 K	24,920 K	3084	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		3,132 K	11,912 K	840	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,660 K	11,708 K	5452	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		6,208 K	9,656 K	7856	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,480 K	12,140 K	284	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	< 0.01	5,984 K	17,568 K	4120	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,784 K	6,780 K	4952	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,080 K	7,624 K	1232	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,024 K	9,872 K	580	Host Process for Windows Services	Microsoft Corporation
  BvSshServer.exe		6,768 K	20,368 K	4068	Bitvise SSH Server	Bitvise Limited
  svchost.exe		2,104 K	7,364 K	84	Host Process for Windows Services	Microsoft Corporation
  httpd.exe		10,428 K	23,164 K	8892	Apache HTTP Server	Apache Software Foundation
   httpd.exe	< 0.01	26,196 K	29,032 K	8512		
  mysqld.exe	< 0.01	674,164 K	60,200 K	9072		
  mysqld.exe	< 0.01	769,148 K	36,736 K	8608		
  svchost.exe		2,496 K	10,088 K	6344	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,372 K	6,412 K	9148	Host Process for Windows Services	Microsoft Corporation
 lsass.exe	0.36	7,420 K	20,176 K	724	Local Security Authority Process	Microsoft Corporation
 fontdrvhost.exe		1,264 K	3,148 K	872		
csrss.exe	0.34	1,980 K	5,316 K	588		
winlogon.exe		2,748 K	11,764 K	644		
 fontdrvhost.exe	< 0.01	2,184 K	5,712 K	880		
 dwm.exe	2.22	67,092 K	134,540 K	564		
explorer.exe	0.24	71,224 K	174,004 K	5528	Windows Explorer	Microsoft Corporation
 SecurityHealthSystray.exe		1,716 K	8,664 K	2800	Windows Security notification icon	Microsoft Corporation
 VBoxTray.exe	< 0.01	2,592 K	10,804 K	7228	VirtualBox Guest Additions Tray Application	Oracle Corporation
 OneDrive.exe		23,532 K	54,920 K	7376	Microsoft OneDrive	Microsoft Corporation
 nginx.exe		1,596 K	6,988 K	7496		
  nginx.exe	< 0.01	2,012 K	7,292 K	7716		
   conhost.exe		6,504 K	10,916 K	7728	Console Window Host	Microsoft Corporation
 python.exe	0.01	6,148 K	13,424 K	7540	Python	Python Software Foundation
  conhost.exe		7,456 K	19,720 K	7560	Console Window Host	Microsoft Corporation
 python.exe	0.01	6,152 K	13,432 K	7624	Python	Python Software Foundation
  conhost.exe		7,492 K	19,720 K	7656	Console Window Host	Microsoft Corporation
 FileZilla Server Interface.exe	0.03	3,328 K	21,076 K	2208	FileZilla Server	FileZilla Project
 filezilla.exe		10,528 K	43,836 K	3788	FileZilla FTP Client	FileZilla Project
 wampmanager.exe	0.04	7,492 K	12,396 K	9200		
 notepad++.exe		12,604 K	40,136 K	472	Notepad++ : a free (GNU) source code editor	Don HO don.h@free.fr
 WinRAR.exe	< 0.01	8,664 K	35,812 K	5624	WinRAR archiver	Alexander Roshal
  procexp64.exe	12.51	31,612 K	73,284 K	3784	Sysinternals Process Explorer	Sysinternals - www.sysinternals.com
GoogleCrashHandler.exe		1,736 K	224 K	6868		
GoogleCrashHandler64.exe		1,752 K	232 K	5580		
BssCtrl.exe	0.08	7,380 K	3,052 K	5164		
firefox.exe	0.47	213,740 K	333,872 K	1092	Firefox	Mozilla Corporation
 firefox.exe	0.38	17,252 K	80,468 K	3124	Firefox	Mozilla Corporation
 firefox.exe	0.74	94,572 K	168,932 K	2952	Firefox	Mozilla Corporation
 firefox.exe	< 0.01	177,040 K	210,832 K	6936	Firefox	Mozilla Corporation
 firefox.exe	0.01	194,872 K	277,212 K	8948	Firefox	Mozilla Corporation
 firefox.exe	0.02	49,500 K	121,032 K	7008	Firefox	Mozilla Corporation
 firefox.exe		45,020 K	97,908 K	4200	Firefox	Mozilla Corporation
 firefox.exe	< 0.01	71,328 K	143,016 K	7956	Firefox	Mozilla Corporation
 firefox.exe		15,440 K	38,340 K	6916	Firefox	Mozilla Corporation

